0	Para la caída del cabello, tengo un nuevo jabón	arm_09697_00831674848
1	¿Qué color favorito es el más popular?	arm_01523_01987826609
2	El pijama de rayas es azul	arm_04310_00403055305
3	Las máquinas de escribir antiguas pueden ser muy caras.	arm_08784_00917516295
4	Al circular menos automóviles en la ciudad se logra una mejor calidad del aire	arm_04310_00889460756
5	¿A qué hora querés ir al cine?	arm_00610_01139683822
6	Estoy destinada a triunfar	arm_08421_00267033759
7	Tengo una junta de negocios con la firma de abogados, ¿se acuerda?	arm_02484_00643843323
8	Para abrir los poros de la piel lo mejor es ir a un sauna, o tomar un baño de vapor	arm_08784_01796089064
9	Para hacer esa receta necesitás fruta y alcohol	arm_03397_00908571298
10	Quiero que me ayudes a elegir un regalo.	arm_07508_01501418353
11	La yoga además de relajarte y de equilibrar tu organismo también te permitirá tonificar los brazos y las piernas	arm_08421_01607544910
12	La obscuridad del pozo era obscena por naturaleza	arm_08784_02024472792
13	Aquí doblamos a la derecha	arm_09334_01336332492
14	Las tejas rojas del tejado no son de México, son de Texas	arm_01523_00743864090
15	Estaba pensando en ir a acampar.	arm_08784_00976649476
16	Lo podés pagar con la tarjeta verde de Visa	arm_09697_00902499724
17	¿Cuáles son las principales diferencias?	arm_02484_01428475484
18	¿Cuál es la estación de metro más cercana?	arm_07049_01585081217
19	Si el cuerpo pide descanso hay que dárselo dicen los médicos	arm_08421_02017682340
20	Mañana vaya abrigada, un gorro de lana y guantes es lo más recomendable	arm_03397_01255542527
21	El viaje en avión es más rápido que en barco.	arm_05223_01086656404
22	¿Quién subió el mejor video?	arm_05223_01060370073
23	La pronunciación del francés es difícil	arm_09697_00261319027
24	Me ayudas a plantar los naranjos	arm_08784_00961606918
25	El Llano en Llamas es un clásico de Juan Rulfo	arm_06136_00608530830
26	Quiero averiguar como se llama un director de cine	arm_03397_01374111004
27	¿Cuándo sucedió la Primera Guerra Mundial?	arm_08784_00379700365
28	Por ahí se dice que este personaje malverso una cantidad extraordinaria de fondos públicos	arm_08421_02134631072
29	En las noticias de anoche, no vi que el presidente de Estados Unidos estuviera en problemas con el senado.	arm_07508_00715629906
30	Las bocinas estas que te dije son enormes, ¿sabés que se puede hacer con ellas?	arm_02484_02134047694
31	Es muy fácil usar las bicis de la ciudad, con tu tarjeta de crédito alquilas tu bici.	arm_06136_01111664837
32	Mañana va a hacer mucho viento y habrá tormentas	arm_03397_00147817153
33	El dictador Franco estuvo cuarenta años en el poder.	arm_08784_00648369718
34	¿Quién subió el mejor video?	arm_09334_01109753057
35	Te voy a mandar por whatsapp las especificaciones de los invitados	arm_08421_01864879945
36	La calle está llena de hoyos	arm_02484_00477785187
37	Tenés que denunciar inmediatamente el accidente para que lo cubra el seguro	arm_09334_01379569479
38	Quiero un jabón para relajarme.	arm_06136_01805724628
39	Necesito tu ayuda urgente.	arm_05223_00154377171
40	¿Qué tan destruida quedó la ciudad de Nueva Orleans después del huracán Katrina?	arm_03397_01001500542
41	Los hamsters comen zanahorias	arm_04310_01633259307
42	En el salón de fiestas entran alrededor de mil quinientas personas	arm_00610_01436352189
43	Hoy a la tarde saqué mi tarjeta para la bicicleta urbana	arm_09697_01306802283
44	Ayudáme a encontrar un buen gimnasio pero que esté cerca de mi casa	arm_04310_01935464076
45	No te entiendo nada	arm_01523_01282980270
46	La granizada destruyó toda la plantación de lechuga	arm_01523_01088295309
47	Quiero irme de vacaciones a Hawái pero no sé si el volcán esté activo.	arm_07049_01265062379
48	Se hicieron versiones en todos los idiomas de esa canción	arm_04310_01170407677
49	Voy a necesitar que lo pagués con la tarjeta roja	arm_02484_01387218352
50	Te recomiendo que te llevés un buen libro o bajés una buena película para disfrutar el viaje	arm_02484_01763330434
51	¿Queres que te recomiende algo en particular?	arm_00610_01902615510
52	Además, no necesitás comprar una bicicleta, podés usar las de la ciudad.	arm_06136_00279667527
53	No sé hablar malayo	arm_08421_01344921497
54	¿Deseas avisar a tu familia que estás bien?	arm_04310_01373377983
55	Te quiero pedir cincuenta bolsas de basura extra grandes y veinticinco carpas	arm_03397_00678853928
56	¿Podés verificar si hay alguna estación de tren cerca del aeropuerto?	arm_09334_00047697216
57	La piel es muy porosa	arm_08784_00367233603
58	Del subte al museo son quince minutos	arm_09697_01907620915
59	¿Hay algún video viral esta mañana?	arm_07508_00278237766
60	Quiero ver una película pero que sea en una pantalla grande.	arm_05223_00206898131
61	¿Querés aprender el idioma a nivel de negocios o lo querés para una cuestión más cotidiana?	arm_02484_00235213418
62	Te quiero pedir cincuenta bolsas de basura extra grandes y veinticinco carpas	arm_09697_00054043655
63	¿Me ayudas a hacer los deberes?	arm_01523_02119659242
64	Creo que se le disloco el hombro	arm_04310_02128602099
65	El siguiente semestre quiero empezar a estudiar licenciatura en cine	arm_07049_01292150260
66	Los atajos están más libres de circulación que nunca en los últimos tiempos	arm_08784_00049826893
67	No entiendo nada	arm_05223_00194264378
68	Me gustaría organizar unas charlas sobre mecanica industrial	arm_04310_00735455958
69	Él sabe que con eso va a pasar a la historia.	arm_02484_00877707361
70	La parte de las cataratas del Niágara que está del lado estadounidense es bastante aburrida	arm_07049_01400166110
71	Les recomiendo que escalen siete montañas de más de cinco mil metros sobre el nivel del mar	arm_07508_02134741102
72	Los champiñones silvestres son los más sabrosos	arm_01523_01483821019
73	Corea del Norte logró lanzar un misil a una distancia de quinientos kilómetros por primera vez.	arm_03397_00681822767
74	Últimamente he visto muchas bicicletas en la calle.	arm_08784_00300323937
75	Últimamente he andado muy acelerada.	arm_06136_00035496108
76	El caballo está amarrado	arm_06136_02109768581
77	Tocar el xilófono es mi hobby favorito	arm_00610_01171224752
78	¿Es un vuelo directo o hace escalas?	arm_08784_01058192871
79	Quiero que me des tu opinión sobre la nueva obra de teatro.	arm_05223_01091031075
80	¿Sabes de electricidad?, necesito cambiar un enchufe y no se como	arm_01523_00319759547
81	Te voy a mandar una lista de los mejores exitos en español directo a tu celular.	arm_00610_01181265409
82	Estoy acá con una amiga cocinando comida Tailandesa	arm_09334_00478327226
83	Estoy aburrido con la música de mi teléfono, quiero que me recomiendes algo nuevo.	arm_05223_01354068042
84	La película me llegó al corazón	arm_00610_01962111017
85	Le recomiendo los Alpes Suizos	arm_07508_01553419918
86	El Llano en Llamas es un clásico de Juan Rulfo	arm_03397_00988511829
87	¿Podrías comprar por favor el disco y enviarselo a mi mamá?	arm_08421_01314869303
88	Este libro nos muestra una teoría sobre la importancia del arte en el ámbito científico	arm_08421_00128803683
89	La obra de teatro El Flautista fue un exito rotundo	arm_00610_01014719354
90	Mas o menos ¿qué presupuesto está dispuesto a pagar?	arm_00610_01930935764
91	Estoy buscando un restaurante de cocina tradicional	arm_09697_00124067204
92	¿Me podés ayudar a coser un parche?	arm_01523_01271897808
93	Los hamsters comen zanahorias	arm_09334_00185618397
94	Tiene el tiempo contado	arm_09334_01503837011
95	No entiendo nada	arm_05223_01959284939
96	Quiero ver una película de comedia	arm_00610_00514146452
97	Primero que nada vamos a hacer un ejercicio de respiración	arm_07049_01215448244
98	Los hamsters comen zanahorias	arm_07049_01090816678
99	La ciudad es bellísima y tan alegre	arm_03397_01093258524
100	¿Qué necesito para sacar el registro?	arm_07508_00554801132
101	El jeroglífico tiene un pez amarillo	arm_06136_00389029506
102	Hola Cristina que bien que puedo hablar con vos	arm_04310_01693307864
103	¿Te gusta la nieve?	arm_07508_01567818898
104	Ya llegó el taxi, está acá afuera	arm_00610_01100147988
105	¿Conoces la historia del cine mudo?	arm_08784_00681989828
106	Quiero que los chicos vean algo que sea más adecuado a su edad y no sea tan violento.	arm_03397_00449467383
107	¿Cómo es tu estado físico?	arm_00610_01847362465
108	¿Queres que te mande la noticia de los diferentes medios?	arm_00610_01039540131
109	Ayer vi una película francesa sobre la primera guerra mundial y me llamó mucho la atención uno de los soldados	arm_08421_00796934328
110	Los niños tienen mucha imaginación	arm_00610_01114190649
111	Es producto del programa Alemán de entrenamiento científico	arm_09697_01240723340
112	Tengo una reunión con mis amigos y queremos ir a un café.	arm_05223_01069260374
113	Quiero comprar una camisa negra.	arm_07508_00474620405
114	La ciudad es bellísima y tan alegre	arm_07508_00988978547
115	Ayer fui al cine y ví una pésima película.	arm_06136_00279968429
116	En cada estación de bicicleta metés tu tarjeta y te dice la bicicleta que podés usar.	arm_06136_00763976502
117	¿Me podés mandar fotos de tu gato?	arm_09334_01340210205
118	Estoy entusiasmado con meterme a jugar en el equipo de fútbol.	arm_07049_00904692470
119	¿Me podrías decir que otros lugares puedo visitar en Canadá?	arm_04310_00527380003
120	¿En qué calle está la casa?	arm_07508_00516266797
121	Hay tres cafés que están abiertos hasta las once de la noche.	arm_00610_00474418135
122	Quiero salir de viaje con mis padres pero no sé a donde.	arm_05223_00868092458
123	Quiero hacer una compra en internet para ayudar a los damnificados	arm_09697_01477767190
124	¿Me podés por favor enviar algún link de la película por si yo me animo a verla?	arm_02484_00341942551
125	Estoy buscando un restaurante de pescados y mariscos	arm_07049_02095440606
126	Quiero saber cuál es la hamburguesa con menos calorías.	arm_00610_00122244953
127	Se recomienda que lleves un pantalón de jean, zapatillas cómodas o botas para caminar	arm_02484_00970556179
128	Hoy decidí dejar de ser sastre	arm_04310_01284121137
129	Las tejas rojas del tejado no son de México, son de Texas	arm_08421_02102638615
130	Los corazones de pollo son una delicia	arm_00610_01564445235
131	Hacé la reserva para que llegue con tiempo al concierto.	arm_05223_01497649084
132	Sí, es importante que te sientas cómodo en una bici.	arm_06136_02083600121
133	De postre voy a servir merengue	arm_09334_02081829763
